iter,mu,sigma2,nu
2005,0.001153653877337476,4.273783005081539e-05,3.9438847565130977
2010,0.0013649024228107054,4.236692868496505e-05,3.94405151883051
2015,0.0009835893520770491,3.8612473908352254e-05,4.273145726772742
2020,0.0008924514494100193,4.181898247312476e-05,4.303442706941364
2025,0.0007001252659140941,4.0470528802177404e-05,4.046803943004438
2030,0.0011404842899421133,3.502913130194345e-05,4.2610932212248755
2035,0.0006865197283908487,3.8997341063107884e-05,3.8084499359969315
2040,0.0005625486399609925,4.032405934356184e-05,3.4602126688585475
2045,0.001316327919412804,3.764927734735318e-05,3.347905396661937
2050,0.0014035557390564277,4.269533756458962e-05,3.4986704504378627
2055,0.0007428436754810776,4.429565794386812e-05,3.959633453371173
2060,0.0014890761116571672,4.261235521544942e-05,4.114624742692047
2065,0.0009716083800475645,3.870173990787754e-05,4.043781716565867
2070,0.0013439250808391374,4.3688797761265345e-05,4.36901725030739
2075,0.0009408300265031758,4.2661459823657046e-05,4.568048218013018
2080,0.0015483631197821652,4.09116394271267e-05,4.726520267970281
2085,0.0012752353530924546,4.944723008660169e-05,4.881404743822603
2090,0.0010640226162526958,4.8093829975630976e-05,4.923801342398159
2095,0.0010193969567249578,4.437283102284889e-05,4.856871592772065
2100,0.001205940489641148,4.1913267530969346e-05,4.856871592772065
2105,0.0004744924309089947,4.730410432662757e-05,5.054984409609164
2110,0.001030213080203208,4.761569046220965e-05,4.8742837788228535
2115,0.001044070891208116,4.359383379974888e-05,4.785272682519777
2120,0.0009654393783307721,4.147540157104799e-05,5.195250586631287
2125,0.0010932141837932663,4.456224324301498e-05,5.033776005492448
2130,0.0009130919599685904,4.015870333230921e-05,4.912130600451949
2135,0.0014023419196877924,4.1436526757118347e-05,4.510004577679645
2140,0.001155198458246245,4.107744125203792e-05,4.470549818888725
2145,0.0008452264714425203,4.038629748816733e-05,4.053497252529405
2150,0.0011355837294136082,3.681183076338855e-05,4.0118886456668585
2155,0.0012922355335177704,3.884258292047516e-05,3.778834189179403
2160,0.0012709306525622373,3.92803899088584e-05,3.4489458213030897
2165,0.0013664180834383217,3.8141809284656344e-05,3.584756290813633
2170,0.001029126525735319,4.220817685451597e-05,3.3505887665715095
2175,0.001251976076187155,3.670902091616745e-05,3.312032575417689
2180,0.0008817540964622274,3.928872530209334e-05,3.485892085505113
2185,0.0013968940736943526,3.5529811981748994e-05,3.196094156145759
2190,0.001446544781045069,3.082972081381672e-05,3.015184152759725
2195,0.0013840925808953422,3.243182783090068e-05,3.0394759193507133
2200,0.0009682045699486193,3.468352440834697e-05,3.0371022110029613
2205,0.0011747079815372498,3.0365940372773413e-05,2.8890739179473295
2210,0.0014471379378541635,3.309111702326937e-05,3.174661078186248
2215,0.0012134620101584598,3.154412350683371e-05,3.2714544590528893
2220,0.0007650125744077245,3.338761632717827e-05,3.307474137571484
2225,0.000761456777082763,3.387261352301835e-05,3.102476899549463
2230,0.0013685163963999241,4.1801683630599905e-05,3.3548260217805046
2235,0.0006152685492321869,3.4811437598302466e-05,3.4077074074637963
2240,0.0006287799983043675,3.4974501627583466e-05,3.485522913654724
2245,0.001046131903258797,4.019922072957844e-05,3.567337846484591
2250,0.0008237714148528548,4.156366671330878e-05,3.455176454709142
2255,0.001055908633489723,4.054634548282624e-05,3.5516881567010543
2260,0.0015878439074280845,4.2492064741456356e-05,3.6108645295603132
2265,0.0014848108755154406,4.191065012473398e-05,3.497134624676157
2270,0.0008864849586604161,3.9524582994443956e-05,3.3430853279281734
2275,0.0005779347912964871,3.8833449081509534e-05,3.239607789222263
2280,0.0012344961918679,3.713417683403553e-05,3.2868861204194406
2285,0.0008219275237190588,3.56774242168908e-05,2.9378834022591764
2290,0.0008085678169168299,3.763669553708786e-05,2.8875152474017916
2295,0.0008166530633316304,3.447361734551834e-05,3.0092283104533477
2300,0.0011364247812487409,3.6281466874930975e-05,3.011142133787566
2305,0.0013998334790105526,3.3175885435769504e-05,3.1488038690140288
2310,0.0010570460721392556,3.678074275427369e-05,3.021438429905735
